timestamp,content_id,user_id,text,model_bielik_decision,model_bielik_score,model_qwen_decision,model_qwen_score,pii_detected,sentiment,action,moderator_override,reason,appeal_filed
2026-06-29T10:45:16,1782722706025,8325128381,"Jesteś debilem, powinieneś się zabić",hate_speech+self_harm,0.85,high,0.0,False,neutral,REJECT,False,hate_speech+self_harm,False
2026-06-29T10:45:21,1782722719866,8325128381,Wysyłam ci link do filmów porno za darmo,sexual,0.85,high,1.0,False,neutral,REJECT,False,sexual,False
2026-06-29T10:45:29,1782722727498,8325128381,"Znajdę cię i pobiję, jak jeszcze raz to zrobisz",violence,0.85,low,0.9,False,neutral,REJECT,False,violence,False
2026-06-29T10:49:16,1782722955253,8325128381,"Świetna obsługa klienta, wszystko dotarło na czas",clean,0.9,safe,1.0,False,neutral,APPROVE,False,,False
2026-06-29T10:49:22,1782722961340,8325128381,"Polecam ten kurs, dużo się nauczyłam",clean,0.9,low,1.0,False,positive,APPROVE,False,,False
2026-06-29T10:49:40,1782722979133,8325128381,Idź skocz z mostu,clean,0.9,high,1.0,False,neutral,FLAG_FOR_REVIEW,False,model_disagreement,False
2026-06-29T10:49:52,1782722991172,8325128381,Kupiłem ten produkt i jestem zadowolony,clean,0.9,safe,1.0,False,positive,APPROVE,False,,False
2026-06-29T10:50:05,1782723002963,8325128381,"Ci urzędnicy to banda nieudaczników, powinni wszyscy odejść",clean,0.9,low,0.9,False,neutral,APPROVE,False,,False
2026-06-29T11:05:39,1782723935957,8325128381,"Sprawdz nasza oferte zarobkowa, napisz do mnie po szczegoly",clean,0.9,low,0.9,False,neutral,APPROVE,False,,False
2026-06-29T11:09:02,1782724130575,8325128381,"Sprawdz nasza oferte zarobkowa, napisz do mnie po szczegoly",unspecified,0.85,low,0.0,False,neutral,FLAG_FOR_REVIEW,False,model_disagreement,False
2026-06-29T11:10:02,1782724200995,8325128381,Idź się zabij,clean,0.9,critical,0.0,False,neutral,REJECT,False,critical_risk,False
